TEAM,OPPONENT,DAY,HOUR,DATE,derby
BESIKTAS,ANTALYASPOR,SUNDAY,21:45,18.08.2024,no
BESIKTAS,SIVASSPOR,SUNDAY,21:45,1.09.2024,no
BESIKTAS,EYUPSPOR,SUNDAY,20:00,22.09.2024,no
BESIKTAS,KONYASPOR,SUNDAY,16:00,20.10.2024,no
BESIKTAS,KASIMPASA,SATURDAY,19:00,2.11.2024,no
BESIKTAS,GOZTEPE,SUNDAY,19:00,24.11.2024,no
BESIKTAS,FENERBAHCE,SATURDAY,19:00,7.12.2024,yes
