TEAM,OPPONENT,DAY,HOUR,DATE,derby
GALATASARAY,HATAYSPOR,FRIDAY,21:00,9.08.2024,no
GALATASARAY,RIZESPOR,SATURDAY,20:00,14.09.2024,no
GALATASARAY,GAZIANTEP,TUESDAY,20:00,17.09.2024,no
GALATASARAY,KASIMPASA,SATURDAY,19:00,28.09.2024,no
GALATASARAY,ALANYASPOR,SUNDAY,19:00,6.10.2024,no
GALATASARAY,BESIKTAS,MONDAY,20:00,28.10.2024,yes
GALATASARAY,SAMSUNSPOR,SUNDAY,16:00,10.11.2024,no
